Country,Year,Category,Total RM
Brunei,"1967 -ASEAN was established on 8 August 1967 in Bangkok by the five original member countries; Indonesia, Malaysia, Philippines, Singapore, and Thailand. Malaysia total trade with ASEAN was only RM1.8 billion",export,13803405
Cambodia,"1967 -ASEAN was established on 8 August 1967 in Bangkok by the five original member countries; Indonesia, Malaysia, Philippines, Singapore, and Thailand. Malaysia total trade with ASEAN was only RM1.8 billion",export,879516
Indonesia,"1967 -ASEAN was established on 8 August 1967 in Bangkok by the five original member countries; Indonesia, Malaysia, Philippines, Singapore, and Thailand. Malaysia total trade with ASEAN was only RM1.8 billion",export,22802847
Lao PDR,"1967 -ASEAN was established on 8 August 1967 in Bangkok by the five original member countries; Indonesia, Malaysia, Philippines, Singapore, and Thailand. Malaysia total trade with ASEAN was only RM1.8 billion",export,183971
Myanmar,"1967 -ASEAN was established on 8 August 1967 in Bangkok by the five original member countries; Indonesia, Malaysia, Philippines, Singapore, and Thailand. Malaysia total trade with ASEAN was only RM1.8 billion",export,681208
Phillipines,"1967 -ASEAN was established on 8 August 1967 in Bangkok by the five original member countries; Indonesia, Malaysia, Philippines, Singapore, and Thailand. Malaysia total trade with ASEAN was only RM1.8 billion",export,27092834
Singapore,"1967 -ASEAN was established on 8 August 1967 in Bangkok by the five original member countries; Indonesia, Malaysia, Philippines, Singapore, and Thailand. Malaysia total trade with ASEAN was only RM1.8 billion",export,842719078
Thailand,"1967 -ASEAN was established on 8 August 1967 in Bangkok by the five original member countries; Indonesia, Malaysia, Philippines, Singapore, and Thailand. Malaysia total trade with ASEAN was only RM1.8 billion",export,223537323
Viet Nam,"1967 -ASEAN was established on 8 August 1967 in Bangkok by the five original member countries; Indonesia, Malaysia, Philippines, Singapore, and Thailand. Malaysia total trade with ASEAN was only RM1.8 billion",export,8493505
Brunei,"1967 -ASEAN was established on 8 August 1967 in Bangkok by the five original member countries; Indonesia, Malaysia, Philippines, Singapore, and Thailand. Malaysia total trade with ASEAN was only RM1.8 billion",Import,238676985
Cambodia,"1967 -ASEAN was established on 8 August 1967 in Bangkok by the five original member countries; Indonesia, Malaysia, Philippines, Singapore, and Thailand. Malaysia total trade with ASEAN was only RM1.8 billion",Import,8557294
Indonesia,"1967 -ASEAN was established on 8 August 1967 in Bangkok by the five original member countries; Indonesia, Malaysia, Philippines, Singapore, and Thailand. Malaysia total trade with ASEAN was only RM1.8 billion",Import,100074026
Lao PDR,"1967 -ASEAN was established on 8 August 1967 in Bangkok by the five original member countries; Indonesia, Malaysia, Philippines, Singapore, and Thailand. Malaysia total trade with ASEAN was only RM1.8 billion",Import,4827690
Myanmar,"1967 -ASEAN was established on 8 August 1967 in Bangkok by the five original member countries; Indonesia, Malaysia, Philippines, Singapore, and Thailand. Malaysia total trade with ASEAN was only RM1.8 billion",Import,13218799
Phillipines,"1967 -ASEAN was established on 8 August 1967 in Bangkok by the five original member countries; Indonesia, Malaysia, Philippines, Singapore, and Thailand. Malaysia total trade with ASEAN was only RM1.8 billion",Import,2443913
Singapore,"1967 -ASEAN was established on 8 August 1967 in Bangkok by the five original member countries; Indonesia, Malaysia, Philippines, Singapore, and Thailand. Malaysia total trade with ASEAN was only RM1.8 billion",Import,316598496
Thailand,"1967 -ASEAN was established on 8 August 1967 in Bangkok by the five original member countries; Indonesia, Malaysia, Philippines, Singapore, and Thailand. Malaysia total trade with ASEAN was only RM1.8 billion",Import,208187562
Viet Nam,"1967 -ASEAN was established on 8 August 1967 in Bangkok by the five original member countries; Indonesia, Malaysia, Philippines, Singapore, and Thailand. Malaysia total trade with ASEAN was only RM1.8 billion",Import,4954397
