id,title,question,run_dir,status,answer,error
5,how_many_members_of_the_us_military_have_died_in_each_war,How many deaths occurred in the World War II?,C:\Users\Lenovo\Documents\Code\FYP\capstone-cli\codex_runs\run_005,ok,"405,399",
6,how_many_members_of_the_us_military_have_died_in_each_war,Which war had more deaths: Korean War or Vietnam War?,C:\Users\Lenovo\Documents\Code\FYP\capstone-cli\codex_runs\run_006,ok,Vietnam War,
7,how_many_members_of_the_us_military_have_died_in_each_war,How has the number of deaths changed from early wars to modern wars?,C:\Users\Lenovo\Documents\Code\FYP\capstone-cli\codex_runs\run_007,ok,"Deaths generally peaked in the 19th and early 20th centuries and then fell sharply in modern wars: early conflicts ranged from about 15,000 to 750,000 deaths, while recent wars were far lower, with 294 in the Gulf War and 6,717 in Iraq/Afghanistan.",
8,malaysia_total_trade_with_world,What is Malaysia’s total trade (% of GDP) in 1990?,C:\Users\Lenovo\Documents\Code\FYP\capstone-cli\codex_runs\run_008,ok,133.325215610,
9,malaysia_total_trade_with_world,Was trade higher in 2000 or 2010?,C:\Users\Lenovo\Documents\Code\FYP\capstone-cli\codex_runs\run_009,ok,2000,
10,traffic_citations,How does the percentage of speeding citations change over time in Q2?,C:\Users\Lenovo\Documents\Code\FYP\capstone-cli\codex_runs\run_010,ok,"In Q2, the share of citations that were for speeding fluctuates rather than moving steadily: it falls from 37.4% in 2003 to 25.3% in 2007, jumps to a peak of 42.0% in 2009, then eases back and stays in the mid-30% range from 2011 to 2013, ending at 35.6% in 2013.",
11,traffic_citations,Which year in Q1 shows an unusually low number of total citations?,C:\Users\Lenovo\Documents\Code\FYP\capstone-cli\codex_runs\run_011,ok,2014,
12,dublin_stats,What was the number of transfers out for Austria in 2017?,C:\Users\Lenovo\Documents\Code\FYP\capstone-cli\codex_runs\run_012,ok,3738,
13,dublin_stats,How did Switzerland’s requests out change from 2012 to 2016?,C:\Users\Lenovo\Documents\Code\FYP\capstone-cli\codex_runs\run_013,ok,"It increased from 11,029 in 2012 to 13,145 in 2016, up by 2,116.",
14,dublin_stats,Is there a year where Switzerland’s transfers in suddenly increased significantly?,C:\Users\Lenovo\Documents\Code\FYP\capstone-cli\codex_runs\run_014,ok,"Yes. The sharpest jump was in 2017, when Switzerland’s transfers in rose from 445 in 2016 to 873, and they increased sharply again in 2018 to 1,292.",
15,international_merchandise_trade_malaysia_and_asean,What is the total trade value (RM) between Malaysia and Indonesia?,C:\Users\Lenovo\Documents\Code\FYP\capstone-cli\codex_runs\run_015,ok,"RM122,876,873",
16,international_merchandise_trade_malaysia_and_asean,Which country has higher trade value with Malaysia: Vietnam or Cambodia?,C:\Users\Lenovo\Documents\Code\FYP\capstone-cli\codex_runs\run_016,ok,Vietnam,
17,percent_change_in_past_month_alcohol_use_between_2011_and_2016_by_state,How does the pattern of percent change differ between inland states and coastal states?,C:\Users\Lenovo\Documents\Code\FYP\capstone-cli\codex_runs\run_017,ok,"Inland states show a wider and more polarized spread, with several of the largest increases concentrated inland (for example Utah, New Mexico, Nebraska, Kansas, and Iowa), alongside some declines. Coastal states are more consistently flat or negative overall, with many Pacific, Northeast, and Southeast coastal states showing decreases or only modest increases, so the coastal pattern is generally weaker and more downward-leaning than the inland one.",
18,percent_change_in_past_month_alcohol_use_between_2011_and_2016_by_state,Which state appears to be the strongest positive outlier on the map?,C:\Users\Lenovo\Documents\Code\FYP\capstone-cli\codex_runs\run_018,ok,Utah,
19,geography_of_educational_attainment_in_california,Which county has a higher percentage of bachelor’s degrees: San Francisco or San Diego (All adults)?,C:\Users\Lenovo\Documents\Code\FYP\capstone-cli\codex_runs\run_019,ok,San Francisco,
20,geography_of_educational_attainment_in_california,Which county has an unusually high percentage compared to others?,C:\Users\Lenovo\Documents\Code\FYP\capstone-cli\codex_runs\run_020,ok,Marin County,
